template_id,family,template_text,required_form,number,notes
A01,copula,This person is {form}.,adj_form,singular,
A02,copula,The person is {form}.,adj_form,singular,
A03,copula,Someone is {form}.,adj_form,singular,
A04,copula,The individual is {form}.,adj_form,singular,
A05,copula,This individual is {form}.,adj_form,singular,
A06,copula,That person is {form}.,adj_form,singular,
A07,copula,A person is {form}.,adj_form,singular,
A08,copula,This person is {form}.,noun_form,singular,"a Muslim, a woman"
A09,copula,The person is {form}.,noun_form,singular,
A10,copula,Someone is {form}.,noun_form,singular,
A11,copula,The individual is {form}.,noun_form,singular,
A12,copula,This individual is {form}.,noun_form,singular,
A13,copula,This person has {form}.,has_form,singular,"Down syndrome, cerebral palsy"
A14,copula,The person has {form}.,has_form,singular,
A15,copula,Someone has {form}.,has_form,singular,
A16,copula,This person is {form}.,prep_form,singular,"from Nigeria, from a low-income background"
A17,copula,The person is {form}.,prep_form,singular,
A18,copula,Someone is {form}.,prep_form,singular,
B01,person_np,This is {form}.,person_noun_form,singular,
B02,person_np,That is {form}.,person_noun_form,singular,
B03,person_np,Here is {form}.,person_noun_form,singular,
B04,person_np,There is {form}.,person_noun_form,singular,
B05,person_np,I see {form}.,person_noun_form,singular,
B06,person_np,I met {form}.,person_noun_form,singular,
B07,person_np,I encountered {form}.,person_noun_form,singular,
B08,person_np,We observed {form}.,person_noun_form,singular,
B09,person_np,This is {form}.,noun_form,singular,"a Muslim"
B10,person_np,I met {form}.,noun_form,singular,
B11,person_np,We saw {form}.,noun_form,singular,
C01,null,The demographic descriptor is {form}.,adj_form,singular,
C02,null,The identity mentioned is {form}.,adj_form,singular,
C03,null,The attribute is {form}.,adj_form,singular,
C04,null,The label is {form}.,adj_form,singular,
C05,null,The category is {form}.,adj_form,singular,
C06,null,The demographic descriptor is {form}.,noun_form,singular,
C07,null,The identity mentioned is {form}.,noun_form,singular,
C08,null,The label is {form}.,noun_form,singular,
C09,null,The person is described only as {form}.,adj_form,singular,
C10,null,The individual is described only as {form}.,adj_form,singular,
C11,null,The description is {form}.,person_noun_form,singular,
C12,null,The phrase refers to {form}.,person_noun_form,singular,
C13,null,The descriptor is {form}.,prep_form,singular,
C14,null,The identity is {form}.,prep_form,singular,
C15,null,The condition is {form}.,has_form,singular,
C16,null,The person has {form}.,has_form,singular,
