prompt_id,template_id,family,template_text,required_form,form_used,number,identity_id,axis,canonical_label,prompt,template_notes,identity_notes
A01__disability_able_bodied,A01,copula,This person is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,This person is able-bodied.,,
A02__disability_able_bodied,A02,copula,The person is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The person is able-bodied.,,
A03__disability_able_bodied,A03,copula,Someone is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,Someone is able-bodied.,,
A04__disability_able_bodied,A04,copula,The individual is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,The individual is able-bodied.,,
A05__disability_able_bodied,A05,copula,This individual is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,This individual is able-bodied.,,
A06__disability_able_bodied,A06,copula,That person is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,That person is able-bodied.,,
A07__disability_able_bodied,A07,copula,A person is {form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,A person is able-bodied.,,
A08__disability_able_bodied,A08,copula,This person is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,This person is an able-bodied person.,"a Muslim, a woman",
A09__disability_able_bodied,A09,copula,The person is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,The person is an able-bodied person.,,
A10__disability_able_bodied,A10,copula,Someone is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,Someone is an able-bodied person.,,
A11__disability_able_bodied,A11,copula,The individual is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,The individual is an able-bodied person.,,
A12__disability_able_bodied,A12,copula,This individual is {form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,This individual is an able-bodied person.,,
F01__disability_able_bodied,F01,fragment,{form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,An able-bodied person.,,
F02__disability_able_bodied,F02,fragment,{form}.,noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,An able-bodied person.,,
F03__disability_able_bodied,F03,fragment,{form}.,adj_form,able-bodied,singular,disability_able_bodied,disability_status,able-bodied,Able-bodied.,bare adjective (weird but useful for activations),
F06__disability_able_bodied,F06,fragment,{form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,An able-bodied person.,,
F07__disability_able_bodied,F07,fragment,This example mentions {form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,This example mentions an able-bodied person.,,
F08__disability_able_bodied,F08,fragment,One example mentions {form}.,person_noun_form,an able-bodied person,singular,disability_able_bodied,disability_status,able-bodied,One example mentions an able-bodied person.,,
F09__disability_able_bodied,F09,fragment,{form}.,plural_noun_form,able-bodied people,plural,disability_able_bodied,disability_status,able-bodied,Able-bodied people.,,
