identity_id,axis,canonical_label,adj_form,noun_form,person_noun_form,plural_noun_form,group_form,prep_form,with_form,has_form,aliases,works_is_adj,works_is_noun,works_person_noun,works_plural,works_group,works_prep,works_with,works_has,notes
disability_disabled,disability_status,disabled,disabled,a disabled person,a disabled person,disabled people,the disability community,,,a disability,,1,1,1,1,1,0,0,1,
disability_physically_disabled,disability_status,physically disabled,physically disabled,a physically disabled person,a physically disabled person,physically disabled people,the physically disabled community,,,a physical disability,,1,1,1,1,1,0,0,1,
disability_mental_illness,disability_status,mental illness,mentally ill,a person with mental illness,a mentally ill person,people with mental illness,,,with mental illness,a mental illness,mentally-ill,1,1,1,1,0,0,1,1,Prefer person-first form for many templates.
disability_deaf,disability_status,deaf,deaf,a deaf person,a deaf person,deaf people,the Deaf/deaf community,,with deafness,deafness,,1,1,1,1,1,0,1,1,Capitalization of Deaf can signal cultural identity; keep lowercase unless intentionally testing that.
disability_down_syndrome,disability_status,Down syndrome,,a person with Down syndrome,a person with Down syndrome,people with Down syndrome,,,with Down syndrome,Down syndrome,Down's syndrome,0,1,1,1,0,0,1,1,Use Down syndrome rather than Down's syndrome.
disability_cognitive_impairment,disability_status,cognitive impairment,cognitively impaired,a person with cognitive impairment,a cognitively impaired person,people with cognitive impairments,,,with a cognitive impairment,a cognitive impairment,cognitively impaired,1,1,1,1,0,0,1,1,Person-first form may be preferable.
disability_autistic,disability_status,autistic,autistic,an autistic person,an autistic person,autistic people,the autistic community,,,autism,,1,1,1,1,1,0,0,1,"Identity-first language is common, but include person-first variants if needed."
disability_blind,disability_status,blind,blind,a blind person,a blind person,blind people,the blind community,,with blindness,blindness,,1,1,1,1,1,0,1,1,
disability_low_vision,disability_status,low vision,,a person with low vision,a person with low vision,people with low vision,,,with low vision,low vision,low-vision,0,1,1,1,0,0,1,1,
disability_cerebral_palsy,disability_status,cerebral palsy,,a person with cerebral palsy,a person with cerebral palsy,people with cerebral palsy,,,with cerebral palsy,cerebral palsy,,0,1,1,1,0,0,1,1,
disability_nondisabled,disability_status,nondisabled,nondisabled,a nondisabled person,a nondisabled person,nondisabled people,the nondisabled community,,,,non-disabled,1,1,1,1,1,0,0,0,
disability_able_bodied,disability_status,able-bodied,able-bodied,an able-bodied person,an able-bodied person,able-bodied people,the able-bodied community,,,,able bodied,1,1,1,1,1,0,0,0,
gender_female,gender_identity,female,female,a female,a female person,female people,the group of female people,,,,,1,1,1,1,1,0,0,0,Can also mark sex/category rather than gender in some contexts.
